access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
On road,,Abundant,No,No,Yes,No,No,None,"Derelict uninhabited village with one new housing unit, locked and habitable","Cadastral Plot numbers 181, 180, 77, 75, 79, 80, 81, 82, 84, 86, 179Village just below forest boundary, surrounded by steeply sloping gully walls","Abandoned agglomerated village showing several phases of re-building/re-use. Stone, stone/mudbricks, flat earth roofs. Described as BU0047, related to TP082 and TP083 and BU0116. See plan TJI-001-01, TJI-002-01.",497088.00,514.00,MLL,23/7/2002 00:00:00,No,No,Some,No,No,Asinou,No,No,Asinou,No,Yes,Yes,3877846.00,No,,TP081,Abundant,No,No,TJI,13/7/2002 00:00:00,,No,No,Yes,No,,,TS03,Yes,None,No,GPS,"Abandoned village, architectural remains.",TJI,No,Some,No,"Located on the saddle of a spur extending east into the Asinou valley, overlooking Asinou Panayia church","Cereals, orchards, batha to sparse forest",No,Nikitari,
On a track to Asinou,,Abundant,No,No,Yes,No,No,Unclear,Preserved to roof height. No roof and first floor.,Close to abandoned village of Nikitari-Asinou occupying slopping land to the SE of the village.,"One and a half storey 'makrinari' style house. Mudbrick on top of stone socle (1.2m high NW face, 2.3m high SE face).Evidence of a flat mud roof supported by timber beams with reed ceiling. Entrance to first floor through door in the NW face. Entrance to the ground floor through SE door. Windows in the first floor on the N and S faces. A 'mandra' (goat fold) adjoins the house to the E. A 'mandra' is constructed from the ruined remains of a stone building, as well as some timber, gorse and corrugated iron.Measured drawing: CLT-001-01.Pottery samples taken from walls (BU0116)",497102.00,513.00,MLL,24/7/2002 00:00:00,No,No,Unclear,No,No,Asinou,No,No,Asinou,No,Yes,Yes,3877839.00,No,,TP082,Some,No,No,CLT,10/7/2002 00:00:00,,No,No,No,No,,,TS03,Yes,None,No,GPS,Two-storey house (dhipato) with attached goatfold (mandra),TJI,No,None,No,Built into steeply slopping (20deg) gully wall,Batha,No,Nikitari,
On graded track,,None,No,No,No,No,No,None,,"Spur extending into Asinou valley surrounded by  orchards and patches of forestry. Clear view to church, to the east of the village. Completely levelelled pad at the tip of the spur.","Possible 'aloni'or threshing area.Threshing area slightly encroached by wild barley.29 meters in length and 15.90m in width.Access to POSI would not have presented any problems due to clear path between the two locations.No evidence of purpose built round retaining wall but a lot of loose rubble.Village just below forest boundary. Local woman later informed us that the area was not used for threshing as far as she knew. Area has been graded recently, purpose unknown",497167.00,515.00,MLL,24/7/2002 00:00:00,Yes,No,None,No,No,Asinou,No,No,Asinou,No,Yes,Yes,3877916.00,No,,TP083,None,No,No,TJI,13/7/2002 00:00:00,,No,No,No,No,,,TS03,Yes,None,No,GPS,Potential threshing floor area to the east of the abandoned village,TJI,Yes,None,No,Located at the very tip of the spur to the north east of the abandoned village,"cereal, hawthorn",No,Nikitari,80.00
Road to Kykko monastary 500m away,,None,Yes,No,No,No,Yes,Unclear,Fairly good,Ploughed agricultural fields surrounding POSI.  POSI is situated within an orchard.  Irrigation channel infront of POSI.,"Four risers with three treads.  First riser is roughly half a meter tall.  First tread is roughly half a meter wide, this the irrigation channel, directly west at base of the tree.  Channel exploits natural processes. Olive tree is growing into second tread, which is roughly half a meter wide.  Risers two and three roughly one meter tall.  Olive tree is possibly surrounded by two other other olive trees.  Some broken branches, some cut off.  Olive tree has split and now has at least three parts.   Tree still sprouting shoots.  Tree is hollow, showing that it is very old.  The rock used to build terrace are from a river, these consist of cobbles and boulders.  These boulders hindered the discovery of ground stone in the area",489446.00,222.00,AJG,9/7/2002 00:00:00,No,No,Unclear,No,No,Karkotis,No,No,Lymnoes,No,Yes,Yes,3881663.00,No,,TP084,Some,No,No,AJG,9/7/2002 00:00:00,,No,No,No,No,,,,Yes,Some,No,GPS,Very old olive tree with 3 terraces cut into risers of larger terrace.,ESG,No,Some,No,Flat alluvial terraces going down to Karkotis river,"Olive trees, orange trees, fig trees and lots of wild vegetation.",No,Katydhata,80.00
"Immediately east of main Katydhata road, across street from school",72cy_38038,None,No,No,No,No,No,None,Destroyed/disappeared,"An anthropogenic terrace; land is built up by bulldosed fill, probably to level and raise ground for house consrtuction and possibly in conjunction with fairly recent renovation and widening of the main road.","Currently under house and modern lemon orchard.  Pottery/stone scatter reported  by Cyprus Survey may have been reported during the construction of this terrace and/or during renovation of the road.  TP037 (tomb) is approximately 30 meters to the North East on an adjacent cadastral plot.  The owner of TP037's land reported that several tombs were discovered on this segment of road when it was widened.  The potential proximity to these tombs may explain the pottery/stone scatter.CS 2755. Shelf no. III-K-17. File no. 48/57/A/3, 13/7/93. Surface survey",489725.00,271.00,CLT,3/8/2002 00:00:00,No,No,None,Yes,Yes,Karkotis,No,Yes,Kouglides and Appithkies,No,No,No,3881815.00,No,II,TP085,Some,Yes,No,ATB,2/8/2002 00:00:00,,No,No,Yes,No,28-XII,1:1250,TS09,No,None,No,Aerial,Stone and sherds from an Archaic-Roman settlement and from Kaminia,ATB,No,Some,No,Now covered by modern houses and probable fill,orchard-citrus,No,Katydhata,20.00
The ford to the South of 'the rock of Ayios Kyriakos',,None,No,No,No,No,Yes,None,"Good in places, poor in others. Deteriorates to South but generally neglected.","Within a series of terraces of olives and almonds. Well pollarded olives. Towards the East near the river there are more fruit trees (vines, figs and other orchards).Some vines upslope to West. Lagoudhera river is 3 terraces downslope to East.",(Above information is for on the path)On terrace below: Pottery: some; Tile: some; Chipped Stone: none; Ground Stone: none; Slag: none; Arch: none. Visibility 80%.SU1625 is on next terrace upslope to West. Some pottery was visible in a collapsed section. Path surface where intact is hard and compact with small stones.Avery compacted A Horizon (that is indistinguishable from the B Horizon) suggests that it is a path.There appears to be a water channel on top of path along the westedge that is covered over by river boulders and concrete (channel is not visible as it is under the boulders). Boulders of terrace construction are between 2080cmhorizontally and between 10-60cm vertically. The path itself is approximately 150cm wide. Width of lower terrace wall is approx. 50cm wide and is approx110cm high at point where POSIed. Upper terrace is approx. 170cm high.At the end of the lower terrace where the bedrock starts to become a cliff above theriver the path splits: the lower part goes down towards the river; with the upper path circling its way up and around the cliff. Overgrown and not visible on other sideofriver. Some collapse of path just below SU1625 also some damage due to construction of water pipes above and bellow as well as some naturalcollapse/damage. South end of path comes out at the road leading to the Adits in TS10.The riser below the path reaches up to 4m in places while the terracedriser above is consistently approx. 2m high (much more variation below.COMMENTS:This path is easily identified on Cadastral map with a dashed line.Cadastral Plot 332 (on Cadastral Plan XXIX50) is the North end of the section on West of the River; Cadastral Plot 268 is South end of the section POSIed,503225.00,381.00,ASM,11/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Ayios Kyriakos,No,No,No,3877415.00,No,,TP086,None,No,No,ASM,11/7/2002 00:00:00,,Yes,No,No,No,29-XXVII,,TS02,Yes,None,No,GPS,Path between two terrace walls,AGR,No,None,No,Within a series of dry stone terraces,"Olives, almonds, wild oats, capers",No,Xyliatos,10.00
Newly cut ford from 'The Rock of Ayios Kyriakos',,None,No,No,No,No,Yes,None,Good,This is on the riser above the Laghardera River that holds up the tread of the path.,"Just to the south of where TP086 splits, the construction of the path running to the river and the presumed ford shows signs of repair in basalt sill. Some columnar blocks have fallen out of basalt sill and the gap has been blocked up. The southern gap in the sill has been filled with heavily lichenated angular basalt blocks.  These blocks have also been used in the construction of the terrace to the east. The northern gap in the sill has been constructed of similar material for upper two-thirds.  The lower third is constructed of basalt blocks and river boulders which are not lichenated.  his appears to be a more recent repair. Parts of the path have been levelled out with lichenated angular basalt blocks above the basalt sill to create a gradual slope down to the river.Northern gap: Height -- 3.20 metres                    Width at top -- 3.00 metres                    Width at bottom -- 30 centimetresSouthern gap: Height -- 1.85 metres                    Width at top -- 70 centimetres                    Width at bottom -- 50 centimetre",503249.00,370.00,RSB,13/7/2002 00:00:00,No,No,None,No,No,Xyliatos,No,No,Ayios Kyriakos,No,No,No,3877358.00,No,,TP087,None,No,No,ASM,13/7/2002 00:00:00,,Yes,No,No,No,29-XXVII,,TS02,Yes,None,No,GPS,Path; lower construction of TP086,AGR,No,None,No,Basalt on tread above river,"Olives, centurian thistle, vines, spiny burnet, barley grass, rock rows, capers",No,Xyliatos,10.00
Newly cut ford from 'The Rock of Ayios Kyriakos',,None,No,No,No,No,No,None,Good,At the river bank at the base of a sill which has been downcut by the river.,"Adit: Depth to exterior perimeter -- 2.20 metres        Depth to interior perimeter -- 1.85 metres        Length across bottom -- 2.00 metres        Ground to top of cut -- 1.40 metresAdit at the base of a vein in the sill.  The vein has been ""chased"" into the rock.  The vein is green in colour (copper sulphates?)",503181.00,322.00,RSB,13/7/2002 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Ayios Kyriakos,Yes,No,No,3877328.00,No,,TP088,None,No,No,ASM,13/7/2002 00:00:00,,No,No,No,No,29-XXVII,,TS02,Yes,None,No,GPS,Adit beside path TP086,AGR,No,None,No,First riser in alluvial flood plains,"Brambles, spiny burnet, thistles, wild grass, figs, capers, hawthorns, river cane",No,Xyliatos,10.00
West of skouriotissa and the Karkotis river.  It is also east of the mining camp,48007,Abundant,No,No,No,No,No,Some,Naturally eroding out of the terrace riser,"West of Skouriotissa mine, on the western side of the river.  This terrace riser is located approximately 70 m to the west to the current river channel (its is above the youngest alluvial terrace on this side) terraces in this area have been anthropogenically modified by means of leveling, creating bounderies and retaining etc.In this part of the river (near the mine) there has been a lot of modern (i.e. after 1963 aerials) buldozing, creation of orchards, cultivation fields and roads etc.","Offers good geomorphology information on GU1016, the general area is of interest to historical architects. The section exposed is 2.4 m deep and 12.5 m wide (extent of architecture).  The entire terrace rise is 3.2 m high 300+ long  The top layer is probably imported soil (hill) which contains abundant pottery and slag.  Is has been ploughed and contains chunks of the architecture below.  The second layer is a concrete platform with crushed slag, this is underlaid by river pebbles set in a lime cement.  This is some type of architecture; possibly foundations and there are also for possible walls.  Probably related to the miner's village close by.  Beneath the contrete layes is alluvial soils, which contain some potter, slag, and jasper to at least 0.5m down.  There are a number of layers within the alluvial sediment.  The first layer has less pottery and no carbonate (less consolidated).  Beneath is alluvial sediment with a light carbonate powder (JSN says takes approx. 2000 years to form) also containing pottery.  In between the 2 layers is a very thin sandy layer. A paleosoil containing pottery is also evident.",489115.00,179.00,CLT,3/8/2002 00:00:00,No,Yes,None,Yes,No,Karkotis,No,No,Psevtadhes,No,No,No,3883470.00,No,,TP089,Some,No,No,AMG,14/7/2002 00:00:00,,No,No,No,No,28-XXVIII,,,Yes,Some,No,Aerial,An exposed stratigraphic section in the terrace riser of GU1016.,ATB,No,Unclear,No,On the flat alluvial terrace of the Karkotis river valley,"The immediate area is used for cultivation, there are also orchards in the vicinity",No,Skouriotissa,
Near creek and old road,AP48007,Unclear,No,No,No,No,No,None,Relatively good.  Has not been excavated,Agricultural landscape.  POSI near river and surrounded by olive groves,"Set at bottom of field boundary.  Possible tomb, entrance 3m in width.Slag cakes may have been transported to cover mouth of tomb.  Slag cakes appear to be Roman tap, 3 are readily visible.Tomb 2m south west of modern well which produced pottery sherds.  Well dug about a year ago.  Finds were not kept by field owner.Little pottery visible does not seem to be diagnostic.",489605.00,233.00,CLT,17/7/2002 00:00:00,No,No,None,No,No,Karkotis,No,No,Kataliontis,No,No,No,3882925.00,No,,TP090,Some,No,No,CLT,14/7/2002 00:00:00,,No,No,No,No,28-XII,,,Yes,Abundant,No,Aerial,Possible tomb sealed by slag cake in earthen terrace rising,ATB,No,None,Yes,set in an earthen terrace rising,olive trees,No,Skouriotissa,80.00
In UN San Martin Camp,,Abundant,No,No,No,No,No,None,Fragments.,Located in the SE part of San Martin Camp under large pine trees,"Area contains four eroded fragmentary columns ranging from 50 and 75 cm tall. Out of context. One moulded capital, recently painted white. Diameter 70 cm, height 80 cm. Three coarse and eroded limestone column fragments with square sockets at top. Damaged probably by ploughing. Possibly of Roman - Byzantine date; probably LR. 1. Diameter 40 cm, height 76 cm. 2. Diameter 40 cm, height 48 cm3. Diameter 40 cm, height 60 m.",489405.00,216.00,MJG,11/6/2004 00:00:00,No,No,None,Yes,No,Karkotis,No,No,Monastery,No,No,No,3883177.00,No,,TP091,None,No,No,ESG,9/8/2002 00:00:00,,No,No,No,No,,,,Yes,Unclear,No,GPS,Four column fragments at Camp San Martin,MJG,No,None,No,River valley; anthropogenic and natural terraces,"Pine trees, olive trees",No,Skouriotissa,25.00
Road along W side of Karkotis Valley,,Some,No,No,No,No,No,None,,,"Modern metal shrine with icons of St Panteleimon, Prophet Elijah, Ayia Irini, Galakotrophousa. Various apparent shrines in area. One large square hole c. 3 m across, 2 m deep, apparently built on 4 sides. Very little pottery. One piece Kornos. Told by man who met Team West on 14/7/02 that there are tombs round shrine",488918.00,247.00,MJG,6/12/2002 00:00:00,No,No,None,No,No,Karkotis,No,No,Pikrosykia,No,No,Yes,3882242.00,No,,TP092,Some,No,No,MJG,15/7/2002 00:00:00,,No,No,No,Yes,,,TS15,No,Some,No,GPS,"Modern shrine, surrounded by possible tombs",MJG,No,None,No,Hillslope,"Scattered pine, hawthorn, genista, spiny burnet",No,Katydhata,10.00
